7, Deleted path: 73, deletedWindow: 5, totalWindow: 115, m_inFlight[]: 5
7, Deleted path: 95, deletedWindow: 1, totalWindow: 118, m_inFlight[]: 1
7, Deleted path: 39, deletedWindow: 1, totalWindow: 139, m_inFlight[]: 0
7, Deleted path: 35, deletedWindow: 1, totalWindow: 156, m_inFlight[]: 1
7, Deleted path: 0, deletedWindow: 6, totalWindow: 194, m_inFlight[]: 6
7, Deleted path: 24, deletedWindow: 4, totalWindow: 190, m_inFlight[]: 4
7, Deleted path: 35, deletedWindow: 3, totalWindow: 215, m_inFlight[]: 3
21, Deleted path: 95, deletedWindow: 4, totalWindow: 166, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 3, totalWindow: 249, m_inFlight[]: 3
21, Deleted path: 95, deletedWindow: 1, totalWindow: 195, m_inFlight[]: 2
7, Deleted path: 54, deletedWindow: 1, totalWindow: 255, m_inFlight[]: 2
7, Deleted path: 24, deletedWindow: 1, totalWindow: 266, m_inFlight[]: 1
21, Deleted path: 35, deletedWindow: 3, totalWindow: 305, m_inFlight[]: 3
7, Deleted path: 35, deletedWindow: 5, totalWindow: 296, m_inFlight[]: 5
21, Deleted path: 54, deletedWindow: 3, totalWindow: 323, m_inFlight[]: 3
7, Deleted path: 0, deletedWindow: 4, totalWindow: 332, m_inFlight[]: 4
21, Deleted path: 54, deletedWindow: 1, totalWindow: 346, m_inFlight[]: 0
7, Deleted path: 31, deletedWindow: 5, totalWindow: 332, m_inFlight[]: 5
7, Deleted path: 73, deletedWindow: 3, totalWindow: 316, m_inFlight[]: 3
21, Deleted path: 95, deletedWindow: 7, totalWindow: 414, m_inFlight[]: 7
7, Deleted path: 35, deletedWindow: 1, totalWindow: 323, m_inFlight[]: 0
21, Deleted path: 54, deletedWindow: 3, totalWindow: 376, m_inFlight[]: 3
7, Deleted path: 54, deletedWindow: 1, totalWindow: 335, m_inFlight[]: 1
7, Deleted path: 24, deletedWindow: 4, totalWindow: 348, m_inFlight[]: 4
21, Deleted path: 95, deletedWindow: 3, totalWindow: 386, m_inFlight[]: 5
7, Deleted path: 0, deletedWindow: 1, totalWindow: 381, m_inFlight[]: 2
21, Deleted path: 0, deletedWindow: 1, totalWindow: 460, m_inFlight[]: 3
7, Deleted path: 30, deletedWindow: 2, totalWindow: 386, m_inFlight[]: 2
7, Deleted path: 35, deletedWindow: 3, totalWindow: 413, m_inFlight[]: 0
7	contentNum: 1	timeTemp: 11.4105, contentTotal: 4, avg comp time: 13.0232, m_totalWindow: 412, sumOfWindow: 412
7, Deleted path: 73, deletedWindow: 1, totalWindow: 31, m_inFlight[]: 2
7, Deleted path: 0, deletedWindow: 1, totalWindow: 75, m_inFlight[]: 2
7, Deleted path: 95, deletedWindow: 3, totalWindow: 83, m_inFlight[]: 3
7, Deleted path: 39, deletedWindow: 4, totalWindow: 119, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 3, totalWindow: 132, m_inFlight[]: 3
7, Deleted path: 35, deletedWindow: 1, totalWindow: 146, m_inFlight[]: 0
7, Deleted path: 0, deletedWindow: 7, totalWindow: 177, m_inFlight[]: 7
7, Deleted path: 73, deletedWindow: 4, totalWindow: 201, m_inFlight[]: 4
7, Deleted path: 35, deletedWindow: 1, totalWindow: 212, m_inFlight[]: 2
7, Deleted path: 54, deletedWindow: 4, totalWindow: 216, m_inFlight[]: 7
7, Deleted path: 95, deletedWindow: 3, totalWindow: 219, m_inFlight[]: 3
7, Deleted path: 35, deletedWindow: 1, totalWindow: 255, m_inFlight[]: 1
7, Deleted path: 0, deletedWindow: 4, totalWindow: 228, m_inFlight[]: 4
7, Deleted path: 31, deletedWindow: 1, totalWindow: 273, m_inFlight[]: 0
7, Deleted path: 0, deletedWindow: 5, totalWindow: 288, m_inFlight[]: 5
7, Deleted path: 54, deletedWindow: 6, totalWindow: 296, m_inFlight[]: 6
7, Deleted path: 73, deletedWindow: 8, totalWindow: 348, m_inFlight[]: 8
7, Deleted path: 95, deletedWindow: 4, totalWindow: 371, m_inFlight[]: 4
7, Deleted path: 31, deletedWindow: 6, totalWindow: 387, m_inFlight[]: 6
7, Deleted path: 0, deletedWindow: 6, totalWindow: 420, m_inFlight[]: 6
21	contentNum: 30	timeTemp: 21.1303, contentTotal: 5, avg comp time: 11.5563, m_totalWindow: 382, sumOfWindow: 382
21, Deleted path: 95, deletedWindow: 5, totalWindow: 118, m_inFlight[]: 5
21, Deleted path: 95, deletedWindow: 5, totalWindow: 211, m_inFlight[]: 5
21, Deleted path: 35, deletedWindow: 3, totalWindow: 254, m_inFlight[]: 3
21, Deleted path: 95, deletedWindow: 3, totalWindow: 296, m_inFlight[]: 3
21, Deleted path: 54, deletedWindow: 5, totalWindow: 235, m_inFlight[]: 5
21, Deleted path: 35, deletedWindow: 2, totalWindow: 397, m_inFlight[]: 3
21, Deleted path: 54, deletedWindow: 2, totalWindow: 386, m_inFlight[]: 3
21, Deleted path: 95, deletedWindow: 4, totalWindow: 428, m_inFlight[]: 4
21, Deleted path: 39, deletedWindow: 1, totalWindow: 401, m_inFlight[]: 0
21	contentNum: 535	timeTemp: 11.2688, contentTotal: 6, avg comp time: 11.5152, m_totalWindow: 398, sumOfWindow: 398
21, Deleted path: 95, deletedWindow: 4, totalWindow: 117, m_inFlight[]: 4
